99,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,138:41,"UtilizationLogic._computeLiquidityUtilization(state.stEffectiveNAV, state.minLiquidityWAD, state.ltRawNAV)",false
100,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,156:9,"state = IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",assert(true)
101,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,156:17,"IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",0
102,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,156:17,"IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",(-1)
103,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,156:17,"IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",1
104,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,156:17,"IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",true
105,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,156:17,"IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",false
106,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,159:9,"FeeAndLiquidityPremiumLogic._processFeesAndLiquidityPremium($, _immutables, state)",assert(true)
107,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,161:9,"_commitPostSyncLiquidityTrancheRawNAV($, _immutables, state)",assert(true)
108,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,184:9,"state = IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",assert(true)
109,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,184:17,"IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",0
110,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,184:17,"IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",(-1)
111,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,184:17,"IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",1
